Id,Sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID,,,
9071,iP12PRMX-GD-64-B -R,64 GB Gold Muy bueno,,instock,no,1,product-variant,9069,,,
9072,iP12PRMX-GD-64-A -R,64 GB Gold Excelente,,instock,no,1,product-variant,9069,,,
9073,iP12PRMX-GD-64-A+ -R,64 GB Gold Premium,,instock,no,1,product-variant,9069,,,
9074,iP12PRMX-MG-64-C -R,64 GB Midnight Green Bueno,,instock,no,1,product-variant,9069,,,
9075,iP12PRMX-MG-64-B -R,64 GB Midnight Green Muy bueno,,instock,no,1,product-variant,9069,,,
9076,iP12PRMX-MG-64-A -R,64 GB Midnight Green Excelente,,instock,no,1,product-variant,9069,,,
9077,iP12PRMX-MG-64-A+ -R,64 GB Midnight Green Premium,,instock,no,1,product-variant,9069,,,
9078,iP12PRMX-SL-64-C -R,64 GB Silver Bueno,,instock,no,1,product-variant,9069,,,
9079,iP12PRMX-SL-64-B -R,64 GB Silver Muy bueno,,instock,no,1,product-variant,9069,,,
9080,iP12PRMX-SL-64-A -R,64 GB Silver Excelente,,instock,no,1,product-variant,9069,,,
9081,iP12PRMX-SL-64-A+ -R,64 GB Silver Premium,,instock,no,1,product-variant,9069,,,
9082,iP12PRMX-SG-64-C -R,64 GB Space gray Bueno,,instock,no,1,product-variant,9069,,,
9083,iP12PRMX-SG-64-B -R,64 GB Space gray Muy bueno,,instock,no,1,product-variant,9069,,,
9084,iP12PRMX-SG-64-A -R,64 GB Space gray Excelente,,instock,no,1,product-variant,9069,,,
9085,iP12PRMX-SG-64-A+ -R,64 GB Space gray Premium,,instock,no,1,product-variant,9069,,,
9086,iP12PRMX-GD-256-C -R,256 GB Gold Bueno,,instock,no,1,product-variant,9069,,,
9087,iP12PRMX-GD-256-B -R,256 GB Gold Muy bueno,,instock,no,1,product-variant,9069,,,
9088,iP12PRMX-GD-256-A -R,256 GB Gold Excelente,,instock,no,1,product-variant,9069,,,
9089,iP12PRMX-GD-256-A+ -R,256 GB Gold Premium,,instock,no,1,product-variant,9069,,,
9090,iP12PRMX-MG-256-C -R,256 GB Midnight Green Bueno,,instock,no,1,product-variant,9069,,,
9091,iP12PRMX-MG-256-B -R,256 GB Midnight Green Muy bueno,,instock,no,1,product-variant,9069,,,
9092,iP12PRMX-MG-256-A -R,256 GB Midnight Green Excelente,,instock,no,1,product-variant,9069,,,
9093,iP12PRMX-MG-256-A+ -R,256 GB Midnight Green Premium,,instock,no,1,product-variant,9069,,,
9094,iP12PRMX-SL-256-C -R,256 GB Silver Bueno,,instock,no,1,product-variant,9069,,,
9095,iP12PRMX-SL-256-B -R,256 GB Silver Muy bueno,,instock,no,1,product-variant,9069,,,
9096,iP12PRMX-SL-256-A -R,256 GB Silver Excelente,,instock,no,1,product-variant,9069,,,
9097,iP12PRMX-SL-256-A+ -R,256 GB Silver Premium,,instock,no,1,product-variant,9069,,,
9098,iP12PRMX-SG-256-C -R,256 GB Space gray Bueno,,instock,no,1,product-variant,9069,,,
9099,iP12PRMX-SG-256-B -R,256 GB Space gray Muy bueno,,instock,no,1,product-variant,9069,,,
9100,iP12PRMX-SG-256-A -R,256 GB Space gray Excelente,,instock,no,1,product-variant,9069,,,
9101,iP12PRMX-SG-256-A+ -R,256 GB Space gray Premium,,instock,no,1,product-variant,9069,,,
9102,iP12PRMX-GD-512-C -R,512 GB Gold Bueno,,instock,no,1,product-variant,9069,,,
9103,iP12PRMX-GD-512-B -R,512 GB Gold Muy bueno,,instock,no,1,product-variant,9069,,,
9104,iP12PRMX-GD-512-A -R,512 GB Gold Excelente,,instock,no,1,product-variant,9069,,,
9105,iP12PRMX-GD-512-A+ -R,512 GB Gold Premium,,instock,no,1,product-variant,9069,,,
9106,iP12PRMX-MG-512-C -R,512 GB Midnight Green Bueno,,instock,no,1,product-variant,9069,,,
9107,iP12PRMX-MG-512-B -R,512 GB Midnight Green Muy bueno,,instock,no,1,product-variant,9069,,,
9108,iP12PRMX-MG-512-A -R,512 GB Midnight Green Excelente,,instock,no,1,product-variant,9069,,,
9109,iP12PRMX-MG-512-A+ -R,512 GB Midnight Green Premium,,instock,no,1,product-variant,9069,,,
9110,iP12PRMX-SL-512-C -R,512 GB Silver Bueno,,instock,no,1,product-variant,9069,,,
9111,iP12PRMX-SL-512-B -R,512 GB Silver Muy bueno,,instock,no,1,product-variant,9069,,,
9112,iP12PRMX-SL-512-A -R,512 GB Silver Excelente,,instock,no,1,product-variant,9069,,,
9113,iP12PRMX-SL-512-A+ -R,512 GB Silver Premium,,instock,no,1,product-variant,9069,,,
9114,iP12PRMX-SG-512-C -R,512 GB Space gray Bueno,,instock,no,1,product-variant,9069,,,
9115,iP12PRMX-SG-512-B -R,512 GB Space gray Muy bueno,,instock,no,1,product-variant,9069,,,
9116,iP12PRMX-SG-512-A -R,512 GB Space gray Excelente,,instock,no,1,product-variant,9069,,,
9117,iP12PRMX-SG-512-A+ -R,512 GB Space gray Premium,,instock,no,1,product-variant,9069,,,
9541,iW7G-EC,iWatch 7,,instock,no,,variable,,,,
9616,AWT7G-ALUBL-41-C -R,41 MM Aluminio Blue Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9617,AWT7G-ALUBL-41-B -R,41 MM Aluminio Blue Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9618,AWT7G-ALUBL-41-A -R,41 MM Aluminio Blue Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9619,AWT7G-ALUBL-41-A+ -R,41 MM Aluminio Blue Premium,TRUE,outofstock,no,,product-variant,9541,,,
9620,AWT7G-ALUGR-41-C -R,41 MM Aluminio Green Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9621,AWT7G-ALUGR-41-B -R,41 MM Aluminio Green Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9622,AWT7G-ALUGR-41-A -R,41 MM Aluminio Green Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9623,AWT7G-ALUGR-41-A+ -R,41 MM Aluminio Green Premium,TRUE,instock,yes,15,product-variant,9541,,,
9624,AWT7G-ALUMD-41-C -R,41 MM Aluminio Midnight Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9625,AWT7G-ALUMD-41-B -R,41 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9626,AWT7G-ALUMD-41-A -R,41 MM Aluminio Midnight Excelente,TRUE,instock,yes,1,product-variant,9541,,,
9627,AWT7G-ALUMD-41-A+ -R,41 MM Aluminio Midnight Premium,TRUE,instock,yes,3,product-variant,9541,,,
9628,AWT7G-ALURD-41-C -R,41 MM Aluminio Red Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9629,AWT7G-ALURD-41-B -R,41 MM Aluminio Red Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9630,AWT7G-ALURD-41-A -R,41 MM Aluminio Red Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9631,AWT7G-ALURD-41-A+ -R,41 MM Aluminio Red Premium,TRUE,outofstock,no,,product-variant,9541,,,
9632,AWT7G-ALUSTR-41-C -R,41 MM Aluminio Starlight Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9633,AWT7G-ALUSTR-41-B -R,41 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9634,AWT7G-ALUSTR-41-A -R,41 MM Aluminio Starlight Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9635,AWT7G-ALUSTR-41-A+ -R,41 MM Aluminio Starlight Premium,TRUE,instock,yes,1,product-variant,9541,,,
9636,AWT7G-ALUBL-45-C -R,45 MM Aluminio Blue Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9637,AWT7G-ALUBL-45-B -R,45 MM Aluminio Blue Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9638,AWT7G-ALUBL-45-A -R,45 MM Aluminio Blue Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9639,AWT7G-ALUBL-45-A+ -R,45 MM Aluminio Blue Premium,TRUE,outofstock,no,,product-variant,9541,,,
9640,AWT7G-ALUGR-45-C -R,45 MM Aluminio Green Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9641,AWT7G-ALUGR-45-B -R,45 MM Aluminio Green Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9642,AWT7G-ALUGR-45-A -R,45 MM Aluminio Green Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9643,AWT7G-ALUGR-45-A+ -R,45 MM Aluminio Green Premium,TRUE,outofstock,no,,product-variant,9541,,,
9644,AWT7G-ALUMD-45-C -R,45 MM Aluminio Midnight Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9645,AWT7G-ALUMD-45-B -R,45 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9646,AWT7G-ALUMD-45-A -R,45 MM Aluminio Midnight Excelente,TRUE,instock,yes,86,product-variant,9541,,,
9647,AWT7G-ALUMD-45-A+ -R,45 MM Aluminio Midnight Premium,TRUE,outofstock,no,,product-variant,9541,,,
9648,AWT7G-ALURD-45-C -R,45 MM Aluminio Red Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9649,AWT7G-ALURD-45-B -R,45 MM Aluminio Red Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9650,AWT7G-ALURD-45-A -R,45 MM Aluminio Red Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9651,AWT7G-ALURD-45-A+ -R,45 MM Aluminio Red Premium,TRUE,instock,yes,5,product-variant,9541,,,
9652,AWT7G-ALUSTR-45-C -R,45 MM Aluminio Starlight Bueno,TRUE,outofstock,no,,product-variant,9541,,,
9653,AWT7G-ALUSTR-45-B -R,45 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,,product-variant,9541,,,
9654,AWT7G-ALUSTR-45-A -R,45 MM Aluminio Starlight Excelente,TRUE,outofstock,no,,product-variant,9541,,,
9655,AWT7G-ALUSTR-45-A+ -R,45 MM Aluminio Starlight Premium,TRUE,outofstock,no,,product-variant,9541,,,
9656,iWSE2G-EC,iWatch SE (2.ª gen),,instock,no,,variable,,,,
9702,AWTSE2G-ALUMD-40-C -R,40 MM Aluminio Midnight Bueno,TRUE,outofstock,no,,product-variant,9656,,,
9703,AWTSE2G-ALUMD-40-B -R,40 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,,product-variant,9656,,,
9704,AWTSE2G-ALUMD-40-A -R,40 MM Aluminio Midnight Excelente,TRUE,outofstock,no,,product-variant,9656,,,
9705,AWTSE2G-ALUMD-40-A+ -R,40 MM Aluminio Midnight Premium,TRUE,outofstock,no,,product-variant,9656,,,
9706,AWTSE2G-ALUSL-40-C -R,40 MM Aluminio Silver Bueno,TRUE,outofstock,no,,product-variant,9656,,,
9707,AWTSE2G-ALUSL-40-B -R,40 MM Aluminio Silver Muy bueno,TRUE,outofstock,no,,product-variant,9656,,,
9708,AWTSE2G-ALUSL-40-A -R,40 MM Aluminio Silver Excelente,TRUE,outofstock,no,,product-variant,9656,,,
9709,AWTSE2G-ALUSL-40-A+ -R,40 MM Aluminio Silver Premium,TRUE,outofstock,no,,product-variant,9656,,,
9710,AWTSE2G-ALUSTR-40-C -R,40 MM Aluminio Starlight Bueno,TRUE,outofstock,no,,product-variant,9656,,,
9711,AWTSE2G-ALUSTR-40-B -R,40 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,,product-variant,9656,,,
9712,AWTSE2G-ALUSTR-40-A -R,40 MM Aluminio Starlight Excelente,TRUE,outofstock,no,,product-variant,9656,,,
9713,AWTSE2G-ALUSTR-40-A+ -R,40 MM Aluminio Starlight Premium,TRUE,outofstock,no,,product-variant,9656,,,
9714,AWTSE2G-ALUMD-44-C -R,44 MM Aluminio Midnight Bueno,TRUE,outofstock,no,,product-variant,9656,,,
9715,AWTSE2G-ALUMD-44-B -R,44 MM Aluminio Midnight Muy bueno,TRUE,outofstock,no,,product-variant,9656,,,
9716,AWTSE2G-ALUMD-44-A -R,44 MM Aluminio Midnight Excelente,TRUE,outofstock,no,,product-variant,9656,,,
9717,AWTSE2G-ALUMD-44-A+ -R,44 MM Aluminio Midnight Premium,TRUE,instock,yes,48,product-variant,9656,,,
9718,AWTSE2G-ALUSL-44-C -R,44 MM Aluminio Silver Bueno,TRUE,outofstock,no,,product-variant,9656,,,
9719,AWTSE2G-ALUSL-44-B -R,44 MM Aluminio Silver Muy bueno,TRUE,outofstock,no,,product-variant,9656,,,
9720,AWTSE2G-ALUSL-44-A -R,44 MM Aluminio Silver Excelente,TRUE,outofstock,no,,product-variant,9656,,,
9721,AWTSE2G-ALUSL-44-A+ -R,44 MM Aluminio Silver Premium,TRUE,outofstock,no,,product-variant,9656,,,
9722,AWTSE2G-ALUSTR-44-C -R,44 MM Aluminio Starlight Bueno,TRUE,outofstock,no,,product-variant,9656,,,
9723,AWTSE2G-ALUSTR-44-B -R,44 MM Aluminio Starlight Muy bueno,TRUE,outofstock,no,,product-variant,9656,,,
9724,AWTSE2G-ALUSTR-44-A -R,44 MM Aluminio Starlight Excelente,TRUE,outofstock,no,,product-variant,9656,,,
9725,AWTSE2G-ALUSTR-44-A+ -R,44 MM Aluminio Starlight Premium,TRUE,outofstock,no,,product-variant,9656,,,
8912,iP12P-EC,iPhone 12 Pro,,outofstock,no,,variable,,,,
9917,iP12PR-GD-128-C -R,128 GB Gold Bueno,TRUE,outofstock,no,,product-variant,8912,,,
